from,to,Median rate,color
s_DDH5,SBH5,0.99,#f0f0f0
s_DDN1,OBN1,1.37,#252525
s_DDN2,SBN2,0.7,#f0f0f0
s_OBH1,DDH1,2.5,#252525
s_OBH1,SBH1,0.47,#f0f0f0
s_OBH1,POH1,0.49,#f0f0f0
s_OBH3,DDH3,2,#252525
s_OBH3,SBH3,0.57,#737373
s_OBH5,DDH5,1.44,#252525
s_OBH5,POH5,0.57,#f0f0f0
s_OBH5,SBH5,0.74,#f0f0f0
s_OBN1,DDN1,2.32,#252525
s_OBN1,SBN1,0.63,#252525
s_OBN1,PON1,0.33,#bdbdbd
s_OBN2,DDN2,1.41,#252525
s_OBN2,SBN2,0.89,#252525
s_OBN8,SBN8,1.05,#252525
s_OBN8,DDN8,1.13,#252525
s_PON2,OBN2,0.82,#f0f0f0
s_SBH3,GUH3,0.93,#252525
s_SBN2,OBN2,0.99,#bdbdbd
s_SBN8,GUN8,0.95,#737373
s_SBN8,DDN8,0.88,#bdbdbd